User,<Rank>,Set 1,Set 2,Set 3,Set 4,Set 5,Duration,Description,Date,Filename,Is on leaderboard?
g.cawley,0.8154 (54),0.7841 (76),0.8738 (43),0.7011 (55),0.3520 (36),2.54 (459),52.80 (72),test the sample result submission,2014-12-10 10:16:27+00:00,sample_result_submission.zip,False
cecile.capponi,0.8154 (54),0.7841 (76),0.8738 (43),0.7011 (55),0.3520 (36),2.43 (464),52.80 (72),second trial,2014-12-17 13:53:44+00:00,submission_CC_003.zip,True
reference,0.8154 (54),0.7841 (76),0.8738 (43),0.7011 (55),0.3520 (36),3.03 (268),52.80 (72),New try of version 1.1,2014-12-20 07:46:37+00:00,sample_result_submission.zip,False
nissan.pow,0.8154 (54),0.7841 (76),0.8738 (43),0.7011 (55),0.3520 (36),2.92 (406),52.80 (72),Sample submission,2015-01-03 19:26:24+00:00,sample_result_submission.zip,True
abhishek4,0.8154 (54),0.7841 (76),0.8738 (43),0.7011 (55),0.3520 (36),2.92 (408),52.80 (72),,2015-01-07 12:17:15+00:00,sample_result_submission.zip,False
jana.kludas,0.8154 (54),0.7841 (76),0.8738 (43),0.7011 (55),0.3520 (36),2.95 (388),52.80 (72),,2015-01-15 12:11:17+00:00,sample_result_submission.zip,False
aad_freiburg,0.8194 (25),0.7524 (120),0.9418 (23),0.8362 (23),0.3209 (73),3.28 (120),52.80 (72),,2015-01-16 13:30:13+00:00,submission.zip,False
jose,0.8154 (54),0.7841 (76),0.8738 (43),0.7011 (55),0.3520 (36),3.06 (181),52.80 (72),Primera prueba,2015-01-27 14:43:47+00:00,sample_result_submission.zip,False
wyl,0.8154 (54),0.7841 (76),0.8738 (43),0.7011 (55),0.3520 (36),3.02 (297),52.80 (72),,2015-01-28 02:09:39+00:00,sample_result_submission.zip,False
Rong,0.8154 (54),0.7841 (76),0.8738 (43),0.7011 (55),0.3520 (36),3.06 (168),52.80 (72),,2015-01-31 18:36:50+00:00,sample_result_submission.zip,False
Rong,0.8154 (54),0.7841 (76),0.8738 (43),0.7011 (55),0.3520 (36),3.03 (262),52.80 (72),,2015-01-31 18:54:50+00:00,sample_result_submission.zip,False
starting_kit,0.8154 (54),0.7841 (76),0.8738 (43),0.7011 (55),0.3520 (36),3.07 (152),52.80 (72),,2015-02-02 15:08:20+00:00,sample_result_submission.zip,True
Harveyz,0.8154 (54),0.7841 (76),0.8738 (43),0.7011 (55),0.3520 (36),3.03 (285),52.80 (72),,2015-02-04 16:15:26+00:00,sample_result_submission.zip,False
girldiary,0.8154 (54),0.7841 (76),0.8738 (43),0.7011 (55),0.3520 (36),3.04 (235),52.80 (72),,2015-02-06 16:45:01+00:00,sample_result_submission.zip,False
kevinzhao90,0.8154 (54),0.7841 (76),0.8738 (43),0.7011 (55),0.3520 (36),3.04 (226),52.80 (72),,2015-02-06 19:03:45+00:00,sample_result_submission.zip,False
wyl,0.8154 (54),0.7841 (76),0.8738 (43),0.7011 (55),0.3520 (36),3.06 (164),52.80 (72),,2015-02-06 23:41:39+00:00,stepwise.zip,False
haoyouqu,0.8163 (37),0.7838 (90),0.8156 (56),0.7009 (56),0.3540 (25),966.60 (47),52.80 (72),,2015-02-07 21:37:43+00:00,sample_result002_submission.zip,False
ngthuydiem,0.8154 (54),0.7841 (76),0.8738 (43),0.7011 (55),0.3520 (36),3.00 (357),52.80 (72),test sample result submission,2015-02-08 13:30:50+00:00,sample_result_submission.zip,False
ngthuydiem,0.8154 (54),0.7841 (76),0.8738 (43),0.7011 (55),0.3520 (36),3.04 (228),52.80 (72),,2015-02-08 13:44:33+00:00,sample_result_submission.zip,False
chenjing,0.8154 (54),0.7841 (76),0.8738 (43),0.7011 (55),0.3520 (36),3.03 (264),52.80 (72),test the sample result submission,2015-02-08 20:20:27+00:00,sample_result_submission.zip,False
lakerwsl,0.8154 (54),0.7841 (76),0.8738 (43),0.7011 (55),0.3520 (36),3.01 (346),52.80 (72),test the sample result submission,2015-02-08 22:17:53+00:00,sample_result_submission.zip,False
wchang44,0.8154 (54),0.7841 (76),0.8738 (43),0.7011 (55),0.3520 (36),3.02 (327),52.80 (72),,2015-02-09 00:54:08+00:00,sample_result_submission.zip,False
aiva,0.8154 (54),0.7841 (76),0.8738 (43),0.7011 (55),0.3520 (36),3.05 (206),52.80 (72),,2015-02-09 04:49:41+00:00,sample_result_submission.zip,True
Chansoon,0.8154 (54),0.7841 (76),0.8738 (43),0.7011 (55),0.3520 (36),3.02 (319),52.80 (72),Testing the submit,2015-02-09 16:42:35+00:00,sample_result_submission.zip,False
